MANDT,BUKRS,BELNR,GJAHR,BUZEI,BUZID,AUGDT,AUGCP,AUGBL,BSCHL,KOART,UMSKZ,UMSKS,ZUMSK,SHKZG,GSBER,PARGB,MWSKZ,QSSKZ,DMBTR,WRBTR,TXBHW,TXBFW,MWSTS,WMWST,HWBAS,FWBAS,SHZUZ,MWART,TXGRP,KTOSL,BVTYP,QSSHB,VALUT,ZUONR,SGTXT,VBUND,BEWAR,VORGN,KOKRS,KOSTL,AUFNR,SAKNR,HKONT,KUNNR,LIFNR,XBILK,GVTYP,ZFBDT,ZTERM,ZBD1T,ZBD2T,ZBD3T,ZBD1P,ZBD2P,SKFBT,SKNTO,WSKTO,ZLSCH,ZLSPR,ZBFIX,MWSK2,DMBT3,WRBT3,LANDL,MSCHL,MANSP,MADAT,MANST,MABER,VPRSV,BWKEY,PRCTR,XHKOM,TXJCD,PROJK,DMBE2,DMBE3,MWST2,MWST3,SKNT2,SKNT3,HWMET,TXBH2,TXBH3,XREF1,XREF2,XREF3,KIDNO,TXDAT,PYAMT,BUPLA,SECCO,XOPVW,KKBER,STCEG,Unnamed: 96,Unnamed: 97,Unnamed: 98
800,RS03,1800003702,2025,3,T,,, ,50,S, , , ,H, , ,D§, ,211944.99,211944.99,0,0,0.0,0.0,1059724.94,1059724.94, ,A,1,MWS, ,0,,20251113, , , ,RFBU,EURP, , , ,43104800, , ,X, ,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003564,2025,1, ,,, ,1,D, , , ,S,SBAP, ,D§, ,1278121.68,1278121.68,0,0,213020.28,213020.28,0.0,0.0, , ,0, , ,0,, , , , ,RFBU,EURP, , ,41100000,41100000,171022, ,X, ,2025-11-03,6,60,0,0,0.0,0,1278121.68,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , ,X,SBAP, ,,,
800,RS03,1800003564,2025,2, ,,, ,50,S, , , ,H,SBAP, ,D§, ,626417.55,626417.55,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001792 BEO-DRAGOS, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003564,2025,3, ,,, ,50,S, , , ,H,SBAP, ,D§, ,438683.85,438683.85,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001792 BEO-DRAGOS, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003564,2025,4,T,,, ,50,S, , , ,H, , ,D§, ,213020.28,213020.28,0,0,0.0,0.0,1065101.4,1065101.4, ,A,1,MWS, ,0,,20251103, , , ,RFBU,EURP, , , ,43104800, , ,X, ,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003608,2025,1, ,,, ,1,D, , , ,S,SBAP, ,D§, ,1273577.58,1273577.58,0,0,212262.93,212262.93,0.0,0.0, , ,0, , ,0,, , , , ,RFBU,EURP, , ,41100000,41100000,171022, ,X, ,2025-11-05,6,60,0,0,0.0,0,1273577.58,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , ,X,SBAP, ,,,
800,RS03,1800003608,2025,2, ,,, ,50,S, , , ,H,SBAP, ,D§, ,1061314.65,1061314.65,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001792 BEO-DRAGOS, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003608,2025,3,T,,, ,50,S, , , ,H, , ,D§, ,212262.93,212262.93,0,0,0.0,0.0,1061314.65,1061314.65, ,A,1,MWS, ,0,,20251105, , , ,RFBU,EURP, , , ,43104800, , ,X, ,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003625,2025,1, ,,, ,1,D, , , ,S,SBAP, ,D§, ,1337255.4,1337255.4,0,0,222875.9,222875.9,0.0,0.0, , ,0, , ,0,, , , , ,RFBU,EURP, , ,41100000,41100000,251637, ,X, ,2025-11-06,6,60,0,0,0.0,0,1337255.4,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , ,X,SBAP, ,,,
800,RS03,1800003625,2025,2, ,,, ,50,S, , , ,H,SBAP, ,D§, ,441129.78,441129.78,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001641 KARTONVAL, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003625,2025,3, ,,, ,50,S, , , ,H,SBAP, ,D§, ,459691.96,459691.96,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001641 KARTONVAL, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003625,2025,4, ,,, ,50,S, , , ,H,SBAP, ,D§, ,213557.76,213557.76,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001641 KARTONVAL, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
